0,0,0,0,0,0
2,0,1,0,0,1
2,0,1,0,0,1
3,0,1,0,0,2
3,0,1,0,0,2
3,0,1,0,0,2
4,0,1,1,0,2
4,0,1,1,0,2
4,0,1,1,0,2
5,0,1,1,0,3
5,0,1,1,0,3
5,0,1,1,0,3
7,0,2,1,1,3
7,0,2,1,1,3
7,0,2,1,1,3
8,0,2,1,1,4
8,0,2,1,1,4
8,0,2,1,1,4
8,0,2,1,1,4
9,0,2,1,2,4
9,0,2,1,2,4
9,0,2,1,2,4
9,0,2,1,2,4
9,0,2,1,2,4
9,0,2,1,2,4
9,0,2,1,2,4
9,0,2,1,2,4
9,0,2,1,2,4
9,0,2,1,2,4
10,0,2,1,3,4
11,0,2,1,3,5
12,0,2,1,3,6
12,0,2,1,3,6
12,0,2,1,3,6
13,1,2,1,3,6
13,1,2,1,3,6
13,1,2,1,3,6
13,1,2,1,3,6
13,1,2,1,3,6
13,1,2,1,3,6
14,2,2,1,3,6
14,2,2,1,3,6
14,2,2,1,3,6
14,2,2,1,3,6
14,2,2,1,3,6
15,2,2,1,4,6
15,2,2,1,4,6
15,2,2,1,4,6
15,2,2,1,4,6
15,2,2,1,4,6
15,2,2,1,4,6
16,2,2,1,4,7
17,2,2,1,5,7
17,2,2,1,5,7
18,3,2,1,5,7
18,3,2,1,5,7
18,3,2,1,5,7
18,3,2,1,5,7
19,3,2,1,6,7
19,3,2,1,6,7
20,4,2,1,6,7
20,4,2,1,6,7
21,4,2,1,7,7
22,4,2,1,8,7
23,4,2,1,9,7
24,4,2,1,10,7
25,4,2,2,10,7
26,5,2,2,10,7
26,5,2,2,10,7
26,5,2,2,10,7
26,5,2,2,10,7
27,5,2,2,11,7
27,5,2,2,11,7
27,5,2,2,11,7
27,5,2,2,11,7
27,5,2,2,11,7
30,5,4,2,11,8
31,5,4,2,11,9
31,5,4,2,11,9
33,6,4,3,11,9
35,7,4,4,11,9
35,7,4,4,11,9
35,7,4,4,11,9
35,7,4,4,11,9
35,7,4,4,11,9
36,7,4,4,11,10
37,7,5,4,11,10
38,7,6,4,11,10
38,7,6,4,11,10
38,7,6,4,11,10
38,7,6,4,11,10
38,7,6,4,11,10
39,7,6,4,12,10
40,7,6,4,13,10
43,8,6,5,14,10
44,8,6,5,15,10
45,8,7,5,15,10
45,8,7,5,15,10
45,8,7,5,15,10
45,8,7,5,15,10
45,8,7,5,15,10
45,8,7,5,15,10
46,8,8,5,15,10
47,8,8,5,15,11
47,8,8,5,15,11
48,8,8,5,15,12
48,8,8,5,15,12
48,8,8,5,15,12
48,8,8,5,15,12
48,8,8,5,15,12
48,8,8,5,15,12
49,8,8,5,15,13
49,8,8,5,15,13
50,8,9,5,15,13
51,8,9,5,15,14
51,8,9,5,15,14
51,8,9,5,15,14
51,8,9,5,15,14
51,8,9,5,15,14
53,8,10,5,15,15
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
55,8,11,5,15,16
58,8,11,7,15,17
58,8,11,7,15,17
58,8,11,7,15,17
58,8,11,7,15,17
58,8,11,7,15,17
58,8,11,7,15,17
60,8,11,9,15,17
60,8,11,9,15,17
60,8,11,9,15,17
60,8,11,9,15,17
60,8,11,9,15,17
60,8,11,9,15,17
60,8,11,9,15,17
60,8,11,9,15,17
62,10,11,9,15,17
63,10,11,9,15,18
63,10,11,9,15,18
65,10,11,11,15,18
66,10,11,12,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
67,10,11,13,15,18
68,10,11,13,15,19
69,11,11,13,15,19
69,11,11,13,15,19
69,11,11,13,15,19
69,11,11,13,15,19
69,11,11,13,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
70,11,11,14,15,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
71,11,11,14,16,19
